"eps_R","eps_G","eps_A","eps_E","eps_S","eps_W","eps_V","eps_C","eps_Q"
1,0,0,0.646689572091511,0.231496828637386,-0.1240939431457,-0.289136987298672,-0.019489697451213,0.20102072567442
0,0,2,0.429063514717754,0.35243266410479,-0.0834585461642804,-0.289441852375822,-0.0307378636708874,0.251459631466782
2,0,2,0.273765859636847,-0.390090788649151,0.286329902685439,-0.157964477412175,-0.164392241717106,0.295553774752921
0,1,1,0.64735775566946,0.620239818350139,-0.735605515324705,-0.599383617080598,0.592214943486603,0.289154900040715
2,1,0,0.920751197490123,0.51449206719999,-0.513078076435856,-0.732424002716615,-0.884429032531354,0.0312324528213489
2,1,1,-0.0594591222643491,0.116460489892177,0.76256811312012,-0.155865589296642,0.0167275431842838,0.0604736480754914
3,1,1,-0.649629701234739,0.644381492454431,0.255047198306374,-0.621529404107293,0.332835115483676,0.151888073035543
2,0,2,0.207404371661525,0.62709360217065,-0.316713998590946,-0.237203637176665,-0.200983962280637,0.0199377099936688
0,0,1,0.697747534983622,0.735477030408854,0.0164741791126589,-0.326768779978651,0.177576066944211,0.10621826704721
3,1,1,0.506714237991594,0.765710285534225,-0.183975578588751,-0.241535042351032,0.198247052889654,0.168622949301068
