id,split,is_identity
1,train,False
2,train,False
3,train,True
4,train,True
5,train,False
6,train,False
7,train,True
8,train,True
9,train,False
10,train,False
11,train,True
12,train,False
13,train,False
14,train,True
15,train,False
16,train,False
17,train,False
18,train,False
19,train,False
20,train,False
21,train,True
22,test,True
23,train,True
24,test,False
25,train,True
26,train,False
27,test,False
28,train,True
29,train,False
30,test,False
31,test,False
32,train,False
33,test,True
34,train,False
35,train,False
36,train,False
37,test,True
38,train,False
39,train,False
40,train,False
41,train,False
42,train,True
43,test,False
44,train,False
45,train,False
46,train,False
47,train,False
48,train,True
49,train,False
50,train,True
51,train,False
52,train,False
53,train,False
54,train,False
55,train,True
56,train,False
57,train,False
58,train,False
59,test,False
60,train,True
61,train,False
62,test,False
63,train,False
64,train,False
65,train,False
66,train,False
67,train,False
68,train,True
69,train,False
70,train,False
71,test,True
72,train,True
73,train,False
74,train,False
75,train,False
76,train,False
77,test,True
78,train,False
79,train,False
80,test,False
81,train,False
82,train,False
83,test,True
84,train,True
85,train,False
86,train,False
87,train,True
88,train,False
89,train,False
90,train,True
91,train,False
92,train,False
93,test,False
94,train,False
95,test,True
96,train,True
97,test,False
98,test,False
99,train,False
100,train,True
101,train,False
102,train,False
103,train,True
104,train,True
105,train,True
106,train,False
107,train,False
108,train,True
109,train,False
110,train,False
111,test,False
112,test,False
113,train,False
114,train,True
115,train,False
116,test,True
117,train,True
118,train,True
119,train,False
120,train,False
121,train,False
122,train,False
123,train,True
124,train,False
125,train,True
126,train,False
127,train,False
128,test,False
129,train,False
130,train,True
131,train,True
132,train,False
133,train,False
134,train,False
135,train,False
136,train,False
137,train,True
138,train,True
139,train,True
140,test,True
141,test,True
142,train,False
143,train,False
144,test,False
145,train,False
146,train,True
147,train,True
148,train,False
149,train,False
150,train,False
151,train,True
152,train,False
153,train,False
154,test,False
155,test,False
156,train,True
157,train,True
158,train,True
159,train,False
160,train,True
161,train,False
162,test,False
163,train,False
164,test,False
165,train,False
166,train,True
167,train,True
168,train,False
169,train,True
170,train,True
171,train,False
172,train,False
