id,X,T,D,U,P,L,H,A,Y
1,1,0,0,0,0,0,0,1,0
2,2,1,2,1,1,0,1,0,1
3,3,0,1,0,0,0,0,1,1
4,3,2,2,2,2,1,2,2,2
5,0,2,1,1,1,2,2,1,1
6,0,1,0,0,1,1,1,1,0
7,3,2,2,2,1,2,2,1,2
8,3,1,1,2,1,1,1,1,2
9,0,0,0,0,0,0,0,0,0
10,1,1,1,1,1,1,1,1,1
11,3,0,1,1,0,0,0,1,0
12,1,1,0,1,1,1,1,1,0
13,1,0,0,1,0,0,0,0,1
14,3,1,1,1,1,1,1,0,1
15,1,1,1,1,1,1,1,1,1
16,1,2,1,2,2,2,2,2,2
17,2,0,1,0,0,1,0,0,0
18,2,1,0,1,1,1,1,1,1
19,0,2,0,1,2,2,2,2,1
20,0,0,1,1,0,0,0,0,0
21,3,1,1,2,0,1,0,1,2
22,3,1,1,1,1,2,1,1,1
23,3,1,2,2,1,1,1,2,2
24,2,2,2,2,2,2,2,1,2
25,3,1,1,1,1,0,0,0,1
26,1,1,1,1,1,0,1,1,0
27,1,0,0,0,0,0,0,0,0
28,3,1,2,2,0,1,1,1,1
29,0,2,0,1,2,1,2,1,1
30,1,2,2,1,2,1,2,2,1
31,0,0,0,0,0,0,0,0,1
32,1,0,1,0,0,0,0,1,0
33,3,0,0,1,0,0,1,0,1
34,0,2,1,1,1,1,2,2,2
35,1,1,1,1,1,1,1,0,1
36,1,1,1,1,1,1,0,0,1
37,3,1,1,1,0,1,0,1,1
38,0,1,0,0,1,1,1,1,0
39,2,1,1,1,0,1,1,1,1
40,1,1,1,2,1,0,0,1,1
41,0,2,1,1,2,2,1,2,2
42,3,0,1,1,0,0,0,1,1
43,0,0,0,0,1,0,0,1,1
44,1,0,0,1,0,0,0,1,0
45,1,2,1,1,2,2,2,2,1
46,1,1,1,1,0,1,1,1,1
47,0,2,0,1,2,2,1,2,1
48,3,0,1,1,0,0,0,0,0
49,2,2,1,2,2,1,2,2,1
50,3,1,2,2,1,1,1,1,2
51,0,1,0,1,1,1,1,0,0
52,2,0,0,0,0,0,0,0,0
53,1,1,1,1,1,1,1,1,1
54,2,2,1,2,2,2,1,2,2
55,3,0,0,2,0,0,1,0,1
56,1,2,0,2,2,2,1,2,1
57,2,2,1,2,1,2,2,2,1
58,0,1,0,0,1,1,1,2,0
59,1,2,2,2,2,1,2,1,2
60,3,1,2,1,1,1,1,1,1
61,1,0,0,1,0,0,1,0,0
62,2,1,1,1,1,1,1,0,2
63,1,0,0,0,0,0,0,1,0
64,0,1,0,0,1,1,1,0,0
65,1,2,1,1,2,2,1,2,1
66,2,0,0,0,0,1,1,1,1
67,1,0,1,0,0,1,0,0,1
68,3,2,2,2,2,2,2,1,2
69,1,2,1,1,1,2,2,1,1
70,2,1,1,1,1,1,1,1,1
71,3,0,1,1,0,0,1,0,1
72,3,2,2,1,1,2,2,1,2
73,1,0,0,1,0,1,0,0,1
74,0,1,1,0,1,1,0,0,0
75,2,2,2,1,2,1,1,2,2
76,2,1,1,2,1,1,1,1,1
77,3,2,2,2,2,2,1,2,2
78,1,1,0,0,1,1,1,1,1
79,1,1,1,0,1,1,1,1,1
80,0,1,1,0,1,0,1,1,1
81,1,2,2,2,2,2,2,1,1
82,2,2,2,2,2,2,2,2,2
83,3,2,2,2,2,2,1,1,2
84,3,2,2,2,2,1,1,2,2
85,0,1,0,1,1,0,1,0,1
86,2,0,0,1,0,0,0,0,0
87,3,1,1,2,1,1,1,0,2
88,1,0,0,0,0,0,0,1,0
89,1,2,2,1,2,1,2,1,2
90,3,2,2,2,2,2,1,2,2
91,2,1,2,1,0,0,0,2,1
92,2,2,1,2,1,1,2,2,2
93,2,2,2,1,2,2,2,2,2
94,2,1,1,1,1,1,1,1,2
95,3,1,2,2,1,1,1,1,2
96,3,0,0,1,1,0,0,0,0
97,0,0,0,0,0,0,1,0,0
98,0,2,1,2,1,2,2,2,1
99,2,0,1,0,0,0,0,0,0
100,3,1,2,1,1,1,0,1,1
101,0,1,0,0,1,1,1,1,1
102,2,2,1,1,2,1,2,1,2
103,3,2,2,2,2,2,2,2,2
104,3,1,1,2,1,2,0,0,2
105,3,2,2,2,1,1,2,2,2
106,0,0,0,0,1,0,0,2,1
107,2,0,1,1,0,0,0,0,1
108,3,1,1,1,1,1,1,2,1
109,1,1,0,1,1,1,2,1,1
110,0,1,0,0,1,1,1,0,1
111,1,2,2,2,2,2,1,2,1
112,0,1,0,1,1,1,1,0,0
113,0,1,1,1,1,1,0,1,1
114,3,1,2,2,1,1,1,1,2
115,2,1,2,1,1,1,1,1,1
116,3,0,1,2,0,0,1,0,1
117,3,0,1,1,0,1,0,0,1
118,3,1,2,2,0,0,1,1,1
119,1,1,1,1,1,1,0,1,1
120,1,0,0,0,0,0,1,0,0
121,2,1,2,0,0,1,1,1,1
122,1,2,2,2,2,2,2,1,2
123,3,2,2,2,2,2,2,1,2
124,0,1,1,0,2,0,1,0,1
125,3,0,1,1,0,0,1,0,2
126,2,0,1,1,0,1,0,0,0
127,1,0,0,0,0,0,0,0,1
128,2,1,1,0,0,0,1,0,1
129,1,0,0,0,0,0,0,0,0
130,3,1,2,1,1,0,1,1,1
131,3,0,1,1,1,1,0,0,1
132,1,1,1,0,1,0,1,1,1
133,1,1,0,2,1,1,1,0,1
134,0,2,2,1,2,1,2,1,1
135,2,2,2,1,1,2,2,1,2
136,2,0,1,1,1,0,1,0,1
137,3,1,2,2,1,0,1,1,2
138,3,1,2,2,0,0,1,1,1
139,3,0,1,0,0,0,0,0,0
140,3,1,1,2,1,0,2,0,1
141,3,2,2,2,2,1,1,2,2
142,0,0,0,0,0,0,0,1,0
143,0,0,0,0,0,1,0,0,0
144,1,0,1,0,0,0,0,0,0
145,1,1,1,1,2,1,1,1,1
146,3,1,2,2,0,1,1,0,2
147,3,1,1,2,2,1,2,0,1
148,1,1,1,1,2,1,1,1,1
149,2,2,1,2,2,2,1,2,2
150,2,0,0,1,1,0,0,0,0
151,3,0,1,1,0,0,0,0,1
152,0,2,1,0,2,2,2,1,1
153,1,0,0,1,1,0,0,0,0
154,2,2,2,2,2,2,2,1,2
155,1,0,0,0,0,1,0,0,0
156,3,0,0,1,1,0,1,0,1
157,3,1,0,2,1,1,0,0,1
158,3,2,2,2,2,2,2,2,2
159,1,1,1,1,1,1,1,1,1
160,3,2,2,2,2,1,2,1,2
161,0,2,2,1,2,2,0,1,1
162,2,0,1,2,0,0,1,0,1
163,1,1,1,1,1,1,1,2,1
164,0,1,0,1,0,1,1,0,1
165,2,0,1,1,0,0,0,1,1
166,3,1,2,2,1,1,1,1,1
167,3,2,2,2,2,2,1,2,2
168,0,1,1,0,1,1,1,1,0
169,3,2,2,2,2,2,1,1,2
170,3,1,1,2,1,1,1,1,2
171,1,1,1,1,1,1,1,1,1
172,0,0,0,0,0,0,1,1,0
173,3,2,1,1,2,2,2,1,1
174,3,2,1,2,2,2,2,2,2
175,1,1,1,2,1,1,1,1,1
176,0,1,1,0,1,1,0,1,1
177,0,1,0,0,1,1,1,0,0
178,1,2,2,1,2,2,1,2,1
179,3,0,0,2,0,0,1,1,0
180,1,2,1,2,1,2,2,2,1
181,0,2,2,0,2,2,1,1,1
182,2,0,1,0,0,1,0,0,0
183,2,1,0,1,1,1,1,1,0
184,0,1,0,0,2,0,1,0,0
185,2,1,1,1,1,0,1,1,1
186,1,1,0,2,1,1,1,1,1
187,2,1,1,1,0,1,1,1,1
188,0,1,0,0,1,1,2,1,0
189,2,1,1,1,1,0,1,0,1
190,1,1,2,1,2,1,1,1,2
191,2,1,0,1,0,1,1,0,1
192,1,2,2,1,2,2,2,2,1
193,2,2,1,2,2,1,2,1,2
194,0,1,0,0,1,1,1,1,1
195,1,0,1,0,0,0,0,0,1
196,2,1,1,1,1,1,1,1,1
197,3,2,2,2,1,1,2,1,2
198,1,2,2,1,2,2,1,1,2
199,0,1,1,0,1,1,1,1,1
200,2,1,1,1,1,1,1,2,1
201,2,0,0,0,0,0,1,1,0
202,2,1,1,1,1,1,1,1,1
203,0,1,0,0,1,0,1,1,0
204,1,1,1,1,1,1,2,1,1
205,3,1,2,1,1,1,1,0,2
206,3,2,2,1,2,2,1,2,2
207,1,0,1,0,0,0,0,0,0
208,2,1,0,2,1,0,1,1,1
209,0,1,1,0,1,1,1,0,1
210,3,1,1,1,1,2,1,0,2
211,1,1,1,1,1,1,1,1,1
212,1,1,1,1,1,1,1,1,1
213,3,0,1,1,0,0,0,0,1
214,2,0,0,1,0,0,1,0,1
215,3,1,0,2,1,1,1,0,1
216,0,1,1,0,1,1,1,1,1
217,3,1,1,2,1,1,1,1,2
218,3,1,1,1,1,1,0,2,1
219,0,1,0,1,1,1,1,1,1
220,0,2,1,1,2,1,2,2,2
221,0,2,1,0,2,1,2,2,1
222,1,0,0,0,0,1,0,0,0
223,1,1,1,1,0,1,1,1,1
224,0,1,0,0,1,0,1,0,0
225,3,0,1,2,0,1,0,0,1
226,1,0,0,1,0,0,0,0,0
227,3,2,2,2,2,2,2,1,2
228,3,1,2,2,1,2,0,1,2
229,0,0,0,0,0,1,0,0,0
230,2,1,2,1,1,1,1,1,1
231,3,2,2,1,1,2,2,1,2
232,0,1,1,0,1,2,1,2,1
233,0,1,1,0,1,1,0,1,0
234,1,1,1,1,1,2,1,1,1
235,0,1,0,0,0,1,1,2,0
236,1,2,2,1,1,1,2,2,2
