id,X,T,D,U,P,L,H,A,Y
1,3,0,1,0,0,0,0,1,1
2,3,1,2,1,1,0,1,0,1
3,3,0,1,0,0,0,0,1,1
4,3,2,2,2,2,1,2,2,2
5,3,2,2,2,1,2,2,1,2
6,3,1,1,1,1,1,1,1,1
7,3,2,2,2,1,2,2,1,2
8,3,1,1,2,1,1,1,1,2
9,3,0,1,0,0,0,0,0,1
10,3,1,1,2,1,1,1,1,2
11,3,0,1,1,0,0,0,1,0
12,3,1,1,2,1,1,1,1,1
13,3,0,0,1,0,0,0,0,1
14,3,1,1,1,1,1,1,0,1
15,3,1,1,2,1,1,1,1,2
16,3,2,2,2,2,2,2,2,2
17,3,0,2,0,0,1,0,0,1
18,3,1,1,1,1,1,1,1,1
19,3,2,1,2,2,2,2,2,2
20,3,0,1,2,0,0,0,0,1
21,3,1,1,2,0,1,0,1,2
22,3,1,1,1,1,2,1,1,1
23,3,1,2,2,1,1,1,2,2
24,3,2,2,2,2,2,2,1,2
25,3,1,1,1,1,0,0,0,1
26,3,1,2,1,1,0,1,1,1
27,3,0,1,1,0,0,0,0,0
28,3,1,2,2,0,1,1,1,1
29,3,2,1,2,2,1,2,1,1
30,3,2,2,2,2,1,2,2,2
31,3,0,1,1,0,0,0,0,2
32,3,0,1,0,0,0,0,1,1
33,3,0,0,1,0,0,1,0,1
34,3,2,2,2,1,1,2,2,2
35,3,1,2,1,1,1,1,0,2
36,3,1,1,2,1,1,0,0,2
37,3,1,1,1,0,1,0,1,1
38,3,1,1,2,1,1,1,1,1
39,3,1,1,1,0,1,1,1,1
40,3,1,2,2,1,0,0,1,2
41,3,2,2,2,2,2,1,2,2
42,3,0,1,1,0,0,0,1,1
43,3,0,1,1,1,0,0,1,2
44,3,0,1,1,0,0,0,1,1
45,3,2,2,2,2,2,2,2,2
46,3,1,1,1,0,1,1,1,1
47,3,2,1,2,2,2,1,2,2
48,3,0,1,1,0,0,0,0,0
49,3,2,2,2,2,1,2,2,2
50,3,1,2,2,1,1,1,1,2
51,3,1,1,2,1,1,1,0,1
52,3,0,0,0,0,0,0,0,0
53,3,1,1,2,1,1,1,1,1
54,3,2,2,2,2,2,1,2,2
55,3,0,0,2,0,0,1,0,1
56,3,2,1,2,2,2,1,2,2
57,3,2,2,2,1,2,2,2,2
58,3,1,1,2,1,1,1,2,1
59,3,2,2,2,2,1,2,1,2
60,3,1,2,1,1,1,1,1,1
61,3,0,0,1,0,0,1,0,0
62,3,1,2,2,1,1,1,0,2
63,3,0,0,1,0,0,0,1,0
64,3,1,1,1,1,1,1,0,1
65,3,2,2,2,2,2,1,2,2
66,3,0,0,1,0,1,1,1,1
67,3,0,1,1,0,1,0,0,1
68,3,2,2,2,2,2,2,1,2
69,3,2,1,2,1,2,2,1,1
70,3,1,2,1,1,1,1,1,1
71,3,0,1,1,0,0,1,0,1
72,3,2,2,1,1,2,2,1,2
73,3,0,1,2,0,1,0,0,1
74,3,1,2,2,1,1,0,0,1
75,3,2,2,2,2,1,1,2,2
76,3,1,2,2,1,1,1,1,2
77,3,2,2,2,2,2,1,2,2
78,3,1,1,1,1,1,1,1,1
79,3,1,1,1,1,1,1,1,2
80,3,1,2,2,1,0,1,1,2
81,3,2,2,2,2,2,2,1,2
82,3,2,2,2,2,2,2,2,2
83,3,2,2,2,2,2,1,1,2
84,3,2,2,2,2,1,1,2,2
85,3,1,1,2,1,0,1,0,1
86,3,0,1,1,0,0,0,0,0
87,3,1,1,2,1,1,1,0,2
88,3,0,0,1,0,0,0,1,0
89,3,2,2,2,2,1,2,1,2
90,3,2,2,2,2,2,1,2,2
91,3,1,2,1,0,0,0,2,1
92,3,2,1,2,1,1,2,2,2
93,3,2,2,1,2,2,2,2,2
94,3,1,2,1,1,1,1,1,2
95,3,1,2,2,1,1,1,1,2
96,3,0,0,1,1,0,0,0,0
97,3,0,0,1,0,0,1,0,1
98,3,2,2,2,1,2,2,2,2
99,3,0,1,1,0,0,0,0,1
100,3,1,2,1,1,1,0,1,1
101,3,1,1,1,1,1,1,1,2
102,3,2,2,1,2,1,2,1,2
103,3,2,2,2,2,2,2,2,2
104,3,1,1,2,1,2,0,0,2
105,3,2,2,2,1,1,2,2,2
106,3,0,1,1,1,0,0,2,1
107,3,0,1,1,0,0,0,0,1
108,3,1,1,1,1,1,1,2,1
109,3,1,0,2,1,1,2,1,1
110,3,1,1,1,1,1,1,0,2
111,3,2,2,2,2,2,1,2,2
112,3,1,1,2,1,1,1,0,1
113,3,1,2,2,1,1,0,1,2
114,3,1,2,2,1,1,1,1,2
115,3,1,2,1,1,1,1,1,1
116,3,0,1,2,0,0,1,0,1
117,3,0,1,1,0,1,0,0,1
118,3,1,2,2,0,0,1,1,1
119,3,1,1,1,1,1,0,1,1
120,3,0,0,1,0,0,1,0,1
121,3,1,2,1,0,1,1,1,2
122,3,2,2,2,2,2,2,1,2
123,3,2,2,2,2,2,2,1,2
124,3,1,2,1,2,0,1,0,1
125,3,0,1,1,0,0,1,0,2
126,3,0,1,1,0,1,0,0,1
127,3,0,1,0,0,0,0,0,1
128,3,1,1,1,0,0,1,0,1
129,3,0,0,1,0,0,0,0,1
130,3,1,2,1,1,0,1,1,1
131,3,0,1,1,1,1,0,0,1
132,3,1,2,1,1,0,1,1,2
133,3,1,0,2,1,1,1,0,2
134,3,2,2,2,2,1,2,1,2
135,3,2,2,2,1,2,2,1,2
136,3,0,1,1,1,0,1,0,1
137,3,1,2,2,1,0,1,1,2
138,3,1,2,2,0,0,1,1,1
139,3,0,1,0,0,0,0,0,0
140,3,1,1,2,1,0,2,0,1
141,3,2,2,2,2,1,1,2,2
142,3,0,1,1,0,0,0,1,1
143,3,0,1,1,0,1,0,0,0
144,3,0,1,1,0,0,0,0,1
145,3,1,1,2,2,1,1,1,1
146,3,1,2,2,0,1,1,0,2
147,3,1,1,2,2,1,2,0,1
148,3,1,1,1,2,1,1,1,1
149,3,2,2,2,2,2,1,2,2
150,3,0,0,1,1,0,0,0,0
151,3,0,1,1,0,0,0,0,1
152,3,2,2,1,2,2,2,1,2
153,3,0,0,2,1,0,0,0,0
154,3,2,2,2,2,2,2,1,2
155,3,0,0,0,0,1,0,0,0
156,3,0,0,1,1,0,1,0,1
157,3,1,0,2,1,1,0,0,1
158,3,2,2,2,2,2,2,2,2
159,3,1,2,2,1,1,1,1,2
160,3,2,2,2,2,1,2,1,2
161,3,2,2,2,2,2,0,1,2
162,3,0,2,2,0,0,1,0,1
163,3,1,2,2,1,1,1,2,2
164,3,1,1,2,0,1,1,0,2
165,3,0,1,1,0,0,0,1,1
166,3,1,2,2,1,1,1,1,1
167,3,2,2,2,2,2,1,2,2
168,3,1,2,1,1,1,1,1,1
169,3,2,2,2,2,2,1,1,2
170,3,1,1,2,1,1,1,1,2
171,3,1,1,1,1,1,1,1,1
172,3,0,1,0,0,0,1,1,1
173,3,2,1,1,2,2,2,1,1
174,3,2,1,2,2,2,2,2,2
175,3,1,1,2,1,1,1,1,2
176,3,1,2,1,1,1,0,1,2
177,3,1,1,1,1,1,1,0,1
178,3,2,2,1,2,2,1,2,2
179,3,0,0,2,0,0,1,1,0
180,3,2,1,2,1,2,2,2,2
181,3,2,2,1,2,2,1,1,2
182,3,0,1,1,0,1,0,0,1
183,3,1,0,1,1,1,1,1,1
184,3,1,1,1,2,0,1,0,1
185,3,1,1,1,1,0,1,1,1
186,3,1,1,2,1,1,1,1,1
187,3,1,1,1,0,1,1,1,1
188,3,1,1,1,1,1,2,1,1
189,3,1,1,1,1,0,1,0,1
190,3,1,2,1,2,1,1,1,2
191,3,1,1,2,0,1,1,0,1
192,3,2,2,2,2,2,2,2,1
193,3,2,2,2,2,1,2,1,2
194,3,1,1,1,1,1,1,1,1
195,3,0,1,1,0,0,0,0,2
196,3,1,1,1,1,1,1,1,1
197,3,2,2,2,1,1,2,1,2
198,3,2,2,2,2,2,1,1,2
199,3,1,2,1,1,1,1,1,2
200,3,1,2,1,1,1,1,2,1
201,3,0,0,0,0,0,1,1,0
202,3,1,1,2,1,1,1,1,1
203,3,1,1,1,1,0,1,1,1
204,3,1,2,2,1,1,2,1,2
205,3,1,2,1,1,1,1,0,2
206,3,2,2,1,2,2,1,2,2
207,3,0,1,1,0,0,0,0,1
208,3,1,0,2,1,0,1,1,1
209,3,1,2,1,1,1,1,0,2
210,3,1,1,1,1,2,1,0,2
211,3,1,1,2,1,1,1,1,1
212,3,1,2,2,1,1,1,1,2
213,3,0,1,1,0,0,0,0,1
214,3,0,0,1,0,0,1,0,1
215,3,1,0,2,1,1,1,0,1
216,3,1,2,1,1,1,1,1,1
217,3,1,1,2,1,1,1,1,2
218,3,1,1,1,1,1,0,2,1
219,3,1,1,2,1,1,1,1,1
220,3,2,2,2,2,1,2,2,2
221,3,2,2,1,2,1,2,2,2
222,3,0,1,0,0,1,0,0,1
223,3,1,2,2,0,1,1,1,2
224,3,1,1,1,1,0,1,0,1
225,3,0,1,2,0,1,0,0,1
226,3,0,1,1,0,0,0,0,0
227,3,2,2,2,2,2,2,1,2
228,3,1,2,2,1,2,0,1,2
229,3,0,1,1,0,1,0,0,1
230,3,1,2,1,1,1,1,1,1
231,3,2,2,1,1,2,2,1,2
232,3,1,2,1,1,2,1,2,2
233,3,1,2,2,1,1,0,1,1
234,3,1,2,1,1,2,1,1,1
235,3,1,1,1,0,1,1,2,1
236,3,2,2,1,1,1,2,2,2
237,3,1,2,1,1,1,1,1,2
238,3,0,0,1,0,0,0,1,1
239,3,0,1,1,0,0,0,0,1
240,3,1,1,2,1,1,1,1,1
241,3,1,2,1,1,1,0,1,2
242,3,1,2,2,2,1,1,2,1
243,3,0,1,0,0,1,0,0,0
244,3,1,1,2,0,1,1,0,1
245,3,1,2,2,1,1,1,0,2
246,3,1,2,1,1,1,0,0,1
247,3,2,2,1,1,2,1,1,2
248,3,1,2,2,1,1,1,1,2
249,3,1,1,1,1,1,1,0,2
250,3,2,2,2,2,2,2,1,2
251,3,2,1,2,1,2,2,1,2
252,3,1,2,1,1,0,0,1,2
253,3,0,0,1,1,0,0,0,1
254,3,1,2,1,1,1,1,1,2
255,3,1,1,1,1,0,0,0,1
256,3,0,0,0,0,0,0,0,1
257,3,1,2,2,1,1,0,1,1
258,3,0,0,1,0,1,0,0,1
259,3,1,0,2,1,0,1,1,1
260,3,2,2,2,2,2,1,1,2
261,3,0,1,1,0,1,0,0,1
262,3,0,2,1,0,0,1,0,1
263,3,2,2,2,1,1,1,1,2
264,3,0,0,1,0,0,0,0,1
265,3,2,2,2,2,2,2,2,2
266,3,1,1,1,0,0,1,1,1
267,3,1,1,1,0,1,2,1,1
268,3,0,0,0,0,0,0,0,1
269,3,2,2,2,2,1,2,2,2
270,3,0,1,0,0,0,0,0,1
271,3,2,2,2,2,2,2,1,2
272,3,1,2,1,1,1,1,1,1
273,3,1,1,2,1,1,1,1,1
274,3,0,0,1,0,0,0,0,1
275,3,0,1,1,0,0,0,0,1
276,3,0,0,0,0,0,1,0,0
277,3,0,1,0,0,0,0,0,1
278,3,0,1,1,0,0,0,0,0
279,3,1,0,1,1,1,0,1,1
280,3,2,2,2,2,1,2,2,2
281,3,1,1,1,1,1,1,0,1
282,3,2,2,2,2,1,2,1,2
283,3,2,2,2,2,2,2,2,2
284,3,0,1,1,0,0,0,0,1
285,3,1,2,1,0,0,0,1,2
286,3,1,1,1,1,0,1,0,2
287,3,0,0,1,0,0,0,0,1
288,3,1,1,2,1,0,0,1,1
289,3,1,1,1,1,1,1,1,1
290,3,0,1,1,0,0,1,0,1
291,3,2,2,2,1,2,1,2,2
292,3,0,1,0,0,0,0,1,1
293,3,0,1,0,0,0,0,1,1
294,3,2,1,2,2,2,1,2,2
295,3,1,1,2,1,1,1,1,1
296,3,1,2,1,1,1,2,1,2
297,3,0,2,1,0,0,0,0,1
298,3,0,1,1,0,1,0,0,1
299,3,1,1,1,1,1,1,1,1
300,3,1,2,1,1,1,0,1,2
301,3,1,2,2,1,1,0,1,2
302,3,1,1,1,0,1,1,1,1
303,3,0,1,1,0,0,0,1,0
304,3,2,2,2,2,1,2,2,2
305,3,0,1,1,0,1,0,0,1
306,3,1,1,1,1,1,0,1,1
307,3,0,1,1,0,0,0,0,1
308,3,2,2,2,1,1,1,2,2
