"R","G","A","E","S","W","V","C","Q","eps_R","eps_G","eps_A","eps_E","eps_S","eps_W","eps_V","eps_C","eps_Q"
2,0,1,2,1,1,0,0,0,2,0,1,0.739613923830274,-0.05412736053346,0.278070449727486,-0.300944827338716,-0.0952280637788933,-0.455472852164824
1,0,1,1,1,0,0,0,0,1,0,1,0.504318920128358,0.635552107902056,-0.622181070319686,-0.126573041238023,-0.193932410251791,0.165812832915577
2,0,1,2,1,2,0,0,1,2,0,1,0.45018999739349,0.0968916900599248,1.14151770545651,-0.485397800150593,-0.121225807982013,-0.520254311420817
0,1,0,1,1,1,0,0,1,0,1,0,1.09500587468407,0.0820493356935243,0.400052510856966,-0.683448337286597,-0.364681003331999,-0.0362140555083901
2,0,0,1,0,1,0,1,1,2,0,0,-0.0282287871448264,-0.0485336087476436,0.570157134941734,-0.0455731201223218,0.228710724544331,0.133343711434771
3,1,0,2,2,1,0,1,1,3,1,0,0.764616035365271,0.697731147856504,0.144034859744417,-0.671037257957331,0.249616798514489,-0.0821436443762079
1,0,1,1,0,1,0,0,1,1,0,1,0.685229552162661,-0.886611810037082,-0.0780034852013849,-0.344442430576198,-0.29534561440245,0.00404335261147139
2,0,0,1,1,1,0,0,0,2,0,0,0.148354190454744,0.206149465775561,0.887154840809903,-0.38110744248153,-0.0911289955116107,-0.247717342031106
3,0,1,1,1,1,0,0,0,3,0,1,-0.53318457970017,0.400618712224771,0.248327583711837,-0.614280318455375,0.17502583400883,-0.224096229394832
0,1,2,2,2,1,1,1,1,0,1,2,0.405101720476668,0.223716222626671,-0.34166844696962,-0.00750304480716452,0.275233032351921,-0.172837412487224
